時刻,弐寺,ダンレボ,ダンスラ,ギタドラ,指,ポプ,ボルテ,ノスタ
09/22 00:20,800,594,410,700,444,570,900,500
09/23 00:00,898,638,440,800,480,622,987,592
09/24 00:00,1000,700,500,900,500,705,1078,644
09/25 00:15,1152,739,500,974,524,804,1158,712
09/26 00:00,1240,777,518,1021,600,900,1224,790
09/27 00:00,1310,855,570,1091,670,950,1384,814
09/28 00:00,1386,932,601,1114,710,1000,1428,900
09/29 00:00,1500,1060,642,1278,801,1036,1560,1000
09/30 00:11,1680,1164,722,1448,886,1151,1700,1001
